Sample	Dim1	Dim2	Cluster
tumor_1	0.979830567145666	-0.866966526408622	2
tumor_2	-0.0614738319681196	-0.52977670633249	1
tumor_3	-0.690191118636307	0.650533409157756	4
tumor_4	-0.803274024470653	0.21058160534797	4
tumor_5	0.991546641750587	-0.416529918099877	2
tumor_6	-0.286742313088424	0.285421784425733	4
tumor_7	-0.11612369440388	-0.0831181063309025	1
tumor_8	-0.816010235757221	-0.256141130997451	4
tumor_9	0.202017332483145	-0.749447516441609	1
tumor_10	-0.0604052469193258	-0.504406122053858	1
tumor_11	-0.212161893909402	0.0891004956786081	4
tumor_12	-0.915892142601811	-0.358153794720182	4
cell_1	0.686098025559647	0.865717497847425	3
cell_2	0.637271931128713	0.901569716531996	3
cell_3	0.465510003687387	0.761615312395499	3
