analysis	Gene_type	Gene	score_pos	pval_pos	qval_pos	qval_global_pos	fdrGuides_pos	score_neg	pval_neg	qval_neg	fdrGuides_neg
LinearRegression on Time	Gene	APIP	0.22899378	0.90159993	0.933119353	1	1	0.026429555	0.948431229	0.999919702	6
LinearRegression on Time	Gene	APLN	1.331292578	0.289581249	0.933119353	1	42	17.73879001	4.39E-173	8.77E-172	186
LinearRegression on Time	Gene	ART1	0.222301084	0.903529148	0.933119353	1	2	0.139924251	0.925042376	0.999919702	10
LinearRegression on Time	Ctrl	BFP2	0.502459785	0.797554905	0.933119353	1	22	0.096608106	0.934776985	0.999919702	7
LinearRegression on Time	Gene	C16orf52	0.314078854	0.874574146	0.933119353	1	16	1.341240159	0.283911213	0.946370709	46
LinearRegression on Time	Gene	C19orf71	0.191710097	0.911994151	0.933119353	1	8	0.756378369	0.658304708	0.999919702	30
LinearRegression on Time	Gene	CLDN3	0.124608802	0.928603648	0.933119353	1	5	1.133342057	0.411680377	0.999919702	40
LinearRegression on Time	Gene	CNPY1	0.653212297	0.71922759	0.933119353	1	30	3.695562657	3.20E-06	1.60E-05	84
LinearRegression on Time	Gene	CYB5B	0.439459332	0.825977179	0.933119353	1	19	8.470213943	3.47E-36	2.78E-35	130
LinearRegression on Time	Gene	DCUN1D4	0.29562356	0.880836477	0.933119353	1	0	NA	0.96788712	0.999919702	1
LinearRegression on Time	Gene	DUSP28	0.550908674	0.773918041	0.933119353	1	24	1.457210535	0.222015355	0.807328563	47
LinearRegression on Time	Ctrl	ECFP	0.104321132	0.933119353	0.933119353	1	0	0.535789431	0.781456923	0.999919702	23
LinearRegression on Time	Ctrl	EGFP	0.236687359	0.899347472	0.933119353	1	9	1.589240744	0.16196036	0.647841439	52
LinearRegression on Time	Gene	ENSA	0.550996211	0.773873969	0.933119353	1	23	5.50343578	2.37E-14	1.58E-13	104
LinearRegression on Time	Ctrl	EYFP	0.175753606	0.916183565	0.933119353	1	5	0.565832375	0.766334629	0.999919702	25
LinearRegression on Time	Gene	GPR31	0.199007386	0.910027001	0.933119353	1	3	0.433797882	0.82840079	0.999919702	21
LinearRegression on Time	Gene	HIST1H2BN	1.063117382	0.457924789	0.933119353	1	39	4.055225543	1.57E-07	8.98E-07	87
LinearRegression on Time	Gene	HPRT1	0.367852339	0.85503206	0.933119353	1	5	NA	0.976443087	0.999919702	2
LinearRegression on Time	Gene	IL6	0.373554069	0.852845846	0.933119353	1	19	0.283349679	0.884877122	0.999919702	13
LinearRegression on Time	Gene	KRTAP6-3	0.956143315	0.529263794	0.933119353	1	28	18.48554918	1.17E-188	4.70E-187	183
LinearRegression on Time	Gene	LAMTOR5	0.347576382	0.862628663	0.933119353	1	17	2.131700029	0.02907601	0.129226711	62
LinearRegression on Time	Gene	LRRC23	2.193817473	0.022829106	0.456582114	1	59	NA	0.970763341	0.999919702	1
LinearRegression on Time	Gene	MEST	0.248608539	0.895783379	0.933119353	1	0	NA	0.957810152	0.999919702	2
LinearRegression on Time	Gene	MMACHC	0.351885898	0.861037247	0.933119353	1	17	0.239057385	0.898646077	0.999919702	12
LinearRegression on Time	Gene	MSC	0.508255442	0.794807708	0.933119353	1	24	0.339614991	0.865535803	0.999919702	16
LinearRegression on Time	Gene	OR2T10	0.324091589	0.871082075	0.933119353	1	2	NA	0.973718647	0.999919702	2
LinearRegression on Time	Gene	OR4N5	0.307047091	0.876986754	0.933119353	1	0	NA	0.968275297	0.999919702	5
LinearRegression on Time	Gene	OR7A10	292.8443378	0	0	0	748	NA	0.999919702	0.999919702	0
LinearRegression on Time	Gene	OSR1	0.188426172	0.912868871	0.933119353	1	2	0.365864431	0.855789117	0.999919702	19
LinearRegression on Time	Gene	PDGFB	0.664736674	0.712688413	0.933119353	1	28	0.137298065	0.92566248	0.999919702	7
LinearRegression on Time	Gene	RAB8B	0.139113075	0.925234333	0.933119353	1	2	0.404936952	0.840418625	0.999919702	21
LinearRegression on Time	Ctrl	RFP	0.166583843	0.918522345	0.933119353	1	4	0.520618796	0.788873847	0.999919702	25
LinearRegression on Time	Gene	RPS8	0.514319154	0.79190987	0.933119353	1	22	0.511906508	0.793065752	0.999919702	23
LinearRegression on Time	Gene	S100P	0.881229089	0.578802667	0.933119353	1	30	9.63534222	1.15E-47	1.15E-46	138
LinearRegression on Time	Gene	SHFM1	0.441217511	0.825220113	0.933119353	1	18	14.49802132	2.34E-113	3.11E-112	166
LinearRegression on Time	Gene	SLC31A1	0.302023267	0.878690388	0.933119353	1	10	0.155001337	0.921405736	0.999919702	9
LinearRegression on Time	Gene	TAS2R8	0.27131423	0.888743731	0.933119353	1	0	NA	0.976136629	0.999919702	1
LinearRegression on Time	Gene	TIPRL	0.3514236	0.861208562	0.933119353	1	6	NA	0.972545409	0.999919702	0
LinearRegression on Time	Gene	UBE2L3	0.219679429	0.904277234	0.933119353	1	11	0.621957825	0.736590982	0.999919702	27
LinearRegression on Time	Gene	YWHAQ	0.508538236	0.794673097	0.933119353	1	21	0.113097884	0.931193675	0.999919702	7
3dpi-vs-0dpi	Gene	APIP	0.252533232	0.893181578	0.931813064	1	3	0.014149665	0.949523097	0.99986297	6
3dpi-vs-0dpi	Gene	APLN	1.281832223	0.319567203	0.931813064	1	39	12.46876449	1.80E-81	2.39E-80	155
3dpi-vs-0dpi	Gene	ART1	0.189068083	0.911366797	0.931813064	1	1	0.175488637	0.914939177	0.99986297	11
3dpi-vs-0dpi	Ctrl	BFP2	0.204129899	0.907275047	0.931813064	1	6	0.132183607	0.925611309	0.99986297	8
3dpi-vs-0dpi	Gene	C16orf52	0.216588365	0.9037863	0.931813064	1	9	1.760656789	0.102833089	0.457035953	55
3dpi-vs-0dpi	Gene	C19orf71	0.549998548	0.772983246	0.931813064	1	26	0.259924558	0.890900169	0.99986297	11
3dpi-vs-0dpi	Gene	CLDN3	0.421639951	0.832042792	0.931813064	1	22	0.412393965	0.835876897	0.99986297	19
3dpi-vs-0dpi	Gene	CNPY1	0.445036065	0.822085747	0.931813064	1	22	6.702940331	1.17E-21	9.38E-21	116
3dpi-vs-0dpi	Gene	CYB5B	0.44538555	0.821934243	0.931813064	1	17	5.816604302	5.56E-16	3.71E-15	109
3dpi-vs-0dpi	Gene	DCUN1D4	0.26661908	0.888803799	0.931813064	1	0	NA	0.96353124	0.99986297	2
3dpi-vs-0dpi	Gene	DUSP28	1.159773817	0.395185092	0.931813064	1	44	0.624403115	0.733986253	0.99986297	28
3dpi-vs-0dpi	Ctrl	ECFP	0.420494722	0.832520797	0.931813064	1	22	0.317018421	0.872092292	0.99986297	15
3dpi-vs-0dpi	Ctrl	EGFP	1.122861233	0.419014533	0.931813064	1	41	0.236904269	0.897891839	0.99986297	14
3dpi-vs-0dpi	Gene	ENSA	0.75084129	0.660763425	0.931813064	1	29	3.959138304	4.25E-07	2.13E-06	88
3dpi-vs-0dpi	Ctrl	EYFP	0.192817537	0.910361002	0.931813064	1	8	0.511505706	0.791819724	0.99986297	25
3dpi-vs-0dpi	Gene	GPR31	0.666784403	0.710347604	0.931813064	1	30	0.202586097	0.907700759	0.99986297	12
3dpi-vs-0dpi	Gene	HIST1H2BN	0.658247667	0.715187482	0.931813064	1	26	4.917534742	3.56E-11	2.04E-10	98
3dpi-vs-0dpi	Gene	HPRT1	0.822476736	0.616141045	0.931813064	1	32	NA	0.97886771	0.99986297	2
3dpi-vs-0dpi	Gene	IL6	0.155063719	0.920107615	0.931813064	1	6	0.5643231	0.765735484	0.99986297	25
3dpi-vs-0dpi	Gene	KRTAP6-3	1.143993529	0.405329925	0.931813064	1	36	14.54840935	8.10E-113	3.24E-111	168
3dpi-vs-0dpi	Gene	LAMTOR5	0.690449652	0.69673275	0.931813064	1	30	1.204946469	0.366556418	0.99986297	43
3dpi-vs-0dpi	Gene	LRRC23	0.264955749	0.889327339	0.931813064	1	1	NA	0.957339225	0.99986297	4
3dpi-vs-0dpi	Gene	MEST	0.217572267	0.903506721	0.931813064	1	0	0.01314296	0.949696916	0.99986297	6
3dpi-vs-0dpi	Gene	MMACHC	0.23920869	0.897206992	0.931813064	1	5	0.210638682	0.905464244	0.99986297	9
3dpi-vs-0dpi	Gene	MSC	0.408572904	0.837444695	0.931813064	1	20	0.381286286	0.848356274	0.99986297	18
3dpi-vs-0dpi	Gene	OR2T10	0.993581334	0.504260346	0.931813064	1	37	NA	0.975736303	0.99986297	1
3dpi-vs-0dpi	Gene	OR4N5	0.277452582	0.885350495	0.931813064	1	0	NA	0.963818687	0.99986297	5
3dpi-vs-0dpi	Gene	OR7A10	221.1250325	0	0	0	622	NA	0.99986297	0.99986297	0
3dpi-vs-0dpi	Gene	OSR1	0.337199126	0.864934491	0.931813064	1	14	0.16668942	0.917195701	0.99986297	9
3dpi-vs-0dpi	Gene	PDGFB	0.288579704	0.881724844	0.931813064	1	10	0.364232947	0.85492265	0.99986297	19
3dpi-vs-0dpi	Gene	RAB8B	0.104795722	0.931813064	0.931813064	1	0	0.488265805	0.802731343	0.99986297	24
3dpi-vs-0dpi	Ctrl	RFP	0.365245851	0.854538061	0.931813064	1	17	0.278195202	0.885111011	0.99986297	16
3dpi-vs-0dpi	Gene	RPS8	0.716628679	0.681347475	0.931813064	1	30	0.328874126	0.867919856	0.99986297	16
