"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"LAP3",12326.1391426012,3.51207420331649,0.0340284124797691,0,0,"Up"
"CD38",12733.5863270166,2.62050829717826,0.0623873495287108,0,0,"Up"
"CD9",1152.21431340248,5.81738593050277,0.136768857081625,0,0,"Up"
"PLAUR",1200.43441274121,3.73370628328641,0.094444404426105,0,0,"Up"
"NUB1",6330.5786517359,2.35836578291432,0.0499200448536872,0,0,"Up"
"PRKCH",6161.73526792786,-1.89077793598996,0.0484424545383463,0,0,"Down"
"INPP4A",4646.50589026331,-2.09525699814175,0.051841344081343,0,0,"Down"
"PARP12",4156.11402731656,4.00359466013623,0.068369703338929,0,0,"Up"
"SLC2A3",7043.9495074257,-2.90411901662639,0.0371040152628265,0,0,"Down"
"OAS1",17252.5716795205,5.55377863519367,0.0589400159844436,0,0,"Up"
"ITGA6",1942.76831189786,6.0199923321717,0.125419709149716,0,0,"Up"
"SRSF5",5528.0358662417,-2.19880479665295,0.0507498353592623,0,0,"Down"
"NFKBIA",6241.65911889719,-2.57166532245514,0.0616634122201382,0,0,"Down"
"RASSF2",1249.23846606664,-2.62250970805065,0.0656965005696063,0,0,"Down"
"TNFSF13B",2086.24072499209,5.65206717236022,0.138283619916663,0,0,"Up"
"KLF5",1403.03418765086,6.96156243070314,0.175652177660658,0,0,"Up"
"TSC22D1",2583.51600637249,4.69044236096982,0.105107897390037,0,0,"Up"
"LSR",3637.03934247219,5.95969398909378,0.148116443957692,0,0,"Up"
"MAP3K8",1505.00973311458,-3.15426649259456,0.0763390831187805,0,0,"Down"
"LGALS3BP",7056.13013439691,6.71588556195406,0.148096816644693,0,0,"Up"
"KRT18",29109.7622541263,11.6907163414407,0.172892688932643,0,0,"Up"
"OAS2",10255.9494934074,3.47572672778001,0.0801834668597013,0,0,"Up"
"NEDD9",5951.2789902676,-2.18817992082679,0.049798158318767,0,0,"Down"
"IFIH1",5087.08379553669,4.37744363780108,0.0818354975745002,0,0,"Up"
"STAT1",33799.5681195825,3.10758755889895,0.0735424674567985,0,0,"Up"
"QPCT",2781.06448961791,5.6720421775125,0.128290715767194,0,0,"Up"
"SLC1A4",6830.82722668542,-3.24566096871704,0.0708367385492333,0,0,"Down"
"GBP1",13358.359001059,4.6257009871264,0.086897976097331,0,0,"Up"
"IFIT3",21183.9520162514,8.95544383846669,0.121340303382252,0,0,"Up"
"IFIT2",12128.983174407,8.62981362207882,0.154867913901787,0,0,"Up"
"EGR2",2531.1572762138,-6.15744046690913,0.110296794761259,0,0,"Down"
"IFI6",23839.2619556701,5.04702548267704,0.116947674609867,0,0,"Up"
"MPP1",1696.88648281177,-2.74893255969043,0.0683733733656127,0,0,"Down"
"TRIM21",3792.44064800643,2.6954108723751,0.0553980707871011,0,0,"Up"
"EPSTI1",6120.60775430261,3.41283808976153,0.0599460574901027,0,0,"Up"
"PLAAT4",9264.35970075892,3.15182177339383,0.0758645201373217,0,0,"Up"
"BHLHE40",22222.258214977,-2.7211614887026,0.0715782289198942,0,0,"Down"
"RSAD2",31372.7783835425,6.39818566284213,0.104275696916713,0,0,"Up"
"CMPK2",9182.98362017971,5.11446491899974,0.0511110104689869,0,0,"Up"
"FADS2",5216.28036922043,-5.19206308162941,0.104612916314711,0,0,"Down"
"GOLM1",1549.76962284241,2.96033647366705,0.0705513326092793,0,0,"Up"
"OASL",13455.6988622736,5.29324289640177,0.0568137726520725,0,0,"Up"
"TRAFD1",6518.49560658975,2.40561557762823,0.0533883842621839,0,0,"Up"
"LMO7",1383.72352194585,4.52939609401761,0.114734223969851,0,0,"Up"
"SPRY2",1236.35218054048,-2.63515097719348,0.066448402237137,0,0,"Down"
"HERC6",2489.20749239518,3.95898657514003,0.08167295394987,0,0,"Up"
"HERC5",5863.78473358674,3.70261067440538,0.0827124060156468,0,0,"Up"
"DUSP6",4707.13413330189,-2.47736640666019,0.0392796037714835,0,0,"Down"
"WARS1",31876.7695697062,4.27424494065357,0.0585060607710223,0,0,"Up"
"TSPAN3",2353.09930113716,3.01166055700391,0.057290373585425,0,0,"Up"
"IRF8",2003.48003439539,-2.53755631913355,0.0588318006648529,0,0,"Down"
"IFITM3",11362.2011291308,3.9348769349311,0.089500915477445,0,0,"Up"
"APP",1935.10620843628,5.01058350755424,0.0922007278650899,0,0,"Up"
"GALM",1688.04868712793,2.09184740874071,0.0545780971362579,0,0,"Up"
"PLK2",798.815240863637,4.11058013179166,0.107742776976363,0,0,"Up"
"TMEM140",2781.70209350639,4.35914634456705,0.076053698841655,0,0,"Up"
"ENDOD1",6662.30798236079,3.69238662976274,0.069398458640323,0,0,"Up"
"FADS1",1048.88218984128,-3.86731411800247,0.0937021051639775,0,0,"Down"
"NR4A2",730.626392567036,-3.48769509887732,0.0904120486493881,0,0,"Down"
"UBASH3B",2898.8111891969,-2.45350792005264,0.0636024839145247,0,0,"Down"
"ETS2",1676.20300576116,3.7288408244984,0.0699538148199564,0,0,"Up"
"MX1",31017.4828535804,5.44711556595524,0.087217575717823,0,0,"Up"
"BTG2",9003.94511762114,-2.63149268579451,0.0518841307169548,0,0,"Down"
"DTX3L",9048.00960468096,3.0145981120707,0.0725707554517771,0,0,"Up"
"CSF2",1342.30322091818,-6.9596883944612,0.171195677836694,0,0,"Down"
"STX3",3807.19718451281,-1.68273294581908,0.0440131295492011,0,0,"Down"
"SPINT2",8502.86642929603,8.58227610244303,0.154477044442565,0,0,"Up"
"LRATD2",2115.68986853596,3.04036922007048,0.0601650392311451,0,0,"Up"
"KRT8",44748.9991844069,14.7007517647249,0.368613901787652,0,0,"Up"
"STAT2",5094.26207590394,3.27526287233551,0.073954522104121,0,0,"Up"
"PTGER4",6240.25975851525,-2.57271055448144,0.0682695468398463,0,0,"Down"
"ENC1",1985.88142548053,7.39005071570437,0.158183585997665,0,0,"Up"
"BCL2",4093.9214604501,-3.1031047581334,0.0681185213409632,0,0,"Down"
"ISG20",9574.23415962562,7.78469811300957,0.125095921282365,0,0,"Up"
"TRIB1",2111.18909375047,5.05392740271374,0.100139494889749,0,0,"Up"
"MARCKSL1",4388.54630689964,3.33411038150743,0.0864124002764215,0,0,"Up"
"EXT1",1503.63978121568,2.20004841459923,0.0543599214714248,0,0,"Up"
"MX2",6953.07188827642,5.53137904014372,0.080215839628586,0,0,"Up"
"RFLNB",3923.19465097507,-5.62598031521265,0.0941224027325852,0,0,"Down"
