"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"OR7A10",1341.72947376443,-3.45937301248312,0.242759455834753,2.64483981458703e-47,3.13678002010022e-43,"Down"
"CLDN2",380.972382558682,1.05124979100713,0.147567054073771,5.52505633644556e-14,3.27635840751222e-10,"Up"
"LRATD2",3654.70209068146,0.593034161865482,0.0831134890132216,8.30817332144144e-14,3.28449785307652e-10,"Up"
"CALB2",1036.57779061239,0.772207777109893,0.11335678616935,6.70340927141386e-13,1.98756084897421e-09,"Up"
"TNFRSF21",6358.5676591031,0.734524750137677,0.115241548973183,1.27065082720455e-11,3.01398376212919e-08,"Up"
"LOXL4",7542.31943594202,0.723401956115522,0.116705330263004,5.56705660983105e-11,1.10042152320994e-07,"Up"
"EXT1",2463.82996903835,0.485559355694376,0.0784611808891028,6.50561215543727e-11,1.10223657376409e-07,"Not Significant"
"TMEM30B",970.557812231162,0.706604052385486,0.118368234268906,1.42826853910044e-10,2.11740810921641e-07,"Up"
"AOAH",3697.80695435434,-0.407329048477984,0.067575271366189,5.66387504216017e-10,7.46372866666885e-07,"Not Significant"
"F2R",2211.0544098728,-0.512222195012536,0.0883383798779083,7.43192863461639e-10,8.81426736065504e-07,"Down"
"CCL3",14433.603586105,-0.652999470649036,0.118963784501042,3.01830771960688e-09,3.25428450495796e-06,"Down"
"CD244",1589.71339380564,-0.710928941780529,0.131444615923211,4.31655259733105e-09,3.93806411466585e-06,"Down"
"DCBLD2",5715.95955610951,0.686860297309613,0.127757543218042,4.31659641573829e-09,3.93806411466585e-06,"Up"
"HMGA1",36917.3648918264,0.817043997172696,0.15505225705208,8.34976156955479e-09,7.07344087249427e-06,"Up"
"GZMB",28331.167662037,-0.581794062100414,0.110371624746908,1.12727650712993e-08,8.67202273969525e-06,"Down"
"SHH",303.578250020159,0.878908831954402,0.16928037282589,1.16991875071774e-08,8.67202273969525e-06,"Up"
"CCND1",2271.77375023918,0.891226028380853,0.172003975294705,1.2722827058457e-08,8.87604287725292e-06,"Up"
"APP",3800.95016463176,0.432540585159925,0.0817970556803677,1.37960787630886e-08,9.09008300723507e-06,"Not Significant"
"TRIB1",4121.10360986062,0.527433899226292,0.101635514220897,2.10550038965728e-08,1.31427550638607e-05,"Up"
"MR1",2734.27839906609,-0.451666974640782,0.0885852839300168,3.84417019806363e-08,2.27959292745173e-05,"Not Significant"
"IFFO2",1431.65554190732,0.691630837583257,0.138681572400623,4.72507090261603e-08,2.66854004309648e-05,"Up"
"KRT18",58872.6330005661,0.512441569028326,0.102281037907429,5.1527615918494e-08,2.77780693087881e-05,"Up"
"EPHA2",1977.34605917211,1.00159283641554,0.206459544992798,6.43683516365498e-08,3.25959618931043e-05,"Up"
"RBMS2",708.318853047405,0.667080045805968,0.133919794142407,6.59614743199412e-08,3.25959618931043e-05,"Up"
"CAVIN1",1081.49864879545,0.966547478316201,0.200579149291877,8.14593512926402e-08,3.86443162532285e-05,"Up"
"FZD5",612.791459188433,0.936425510732785,0.193568362006936,8.98137717156349e-08,4.08389427443576e-05,"Up"
"CDCP1",1277.23983159702,0.794045481060045,0.165049899769511,9.29722979846252e-08,4.08389427443576e-05,"Up"
"GJB3",1107.15431820166,0.766828814973856,0.159956868559006,1.00528455891271e-07,4.25809816739456e-05,"Up"
"GALNT14",392.643155188321,0.794068537424482,0.16619500281095,1.10703960978271e-07,4.5274102662148e-05,"Up"
"S100A16",3838.96434455655,0.577071670929318,0.121463747022839,1.21854549206423e-07,4.80753132217547e-05,"Up"
"PLEK",7008.87914124573,-0.512494747961333,0.103949013629018,1.27375587019696e-07,4.80753132217547e-05,"Down"
"KLF4",769.611133859968,0.648483399578515,0.134557531847613,1.30032001244079e-07,4.80753132217547e-05,"Up"
"EPHX1",803.56361934884,0.495895593388395,0.100693143630202,1.33767734934056e-07,4.80753132217547e-05,"Not Significant"
"SERPINE1",725.246750919976,0.609667723374174,0.127922576131683,1.74786007909761e-07,6.09694721708754e-05,"Up"
"FOSL1",916.335764391881,1.0156473753502,0.218972533332349,1.81832907091641e-07,6.16153793744819e-05,"Up"
"TNC",431.066031114861,0.956005592411333,0.205011329931363,1.97910252338309e-07,6.5200433131454e-05,"Up"
"TRGV9",433.206705214437,-0.704102289062972,0.151310078556988,2.24619952859848e-07,7.19998011058863e-05,"Down"
"SGPP2",2033.77419298001,0.499722580948523,0.104518502739554,2.42790638813603e-07,7.57762362191928e-05,"Not Significant"
"ENSG00000293476",1071.44973218169,0.5290221799133,0.112124058897283,2.60451460316221e-07,7.92039569064201e-05,"Up"
"CDC42EP4",2677.57193947609,0.658963475887004,0.143070453446941,2.87259964922797e-07,8.4403484320029e-05,"Up"
"OVOL1",354.342118210641,0.737221350153398,0.161067113934894,2.91782702961314e-07,8.4403484320029e-05,"Up"
"ETS1",14041.1338018615,-0.410968448622239,0.0870132563033027,3.00507245053077e-07,8.46806366416249e-05,"Not Significant"
"ALDH3B1",1373.32682645566,0.826386960803298,0.182573142150481,3.11619456696242e-07,8.46806366416249e-05,"Up"
"GPRC5A",3739.71419904401,0.527285585596761,0.113754046059959,3.14160877928457e-07,8.46806366416249e-05,"Up"
"KRT80",871.841619060747,0.847422153038341,0.186685356368593,3.27775253649688e-07,8.63869890730065e-05,"Up"
"PMEPA1",700.048034210597,1.06052735089608,0.235295500588434,3.37087376078765e-07,8.69099191368294e-05,"Up"
"ZDHHC9",1062.96313741316,0.471211416562717,0.101679596069057,3.58221802948568e-07,9.03938421908514e-05,"Not Significant"
"GABARAPL1",1323.04212525544,-0.531510560242601,0.11601613945567,4.10071122569482e-07,0.000101321739868209,"Down"
"LTBR",1321.19577960787,0.664053309786074,0.146759960452516,4.74714284380139e-07,0.000114900232913234,"Up"
"SYT11",2041.94954773141,-0.440733861048427,0.0959463061266699,4.98162275366093e-07,0.000118164091716837,"Not Significant"
"TEAD1",813.381431236396,0.826291241951193,0.187253662624499,5.54560234258162e-07,0.000128962438790231,"Up"
"SLC25A20",1008.41197804368,-0.518254752139038,0.116378440659125,6.44205781661597e-07,0.000146928472509741,"Down"
"CXCL16",1417.78357243172,0.604533340482288,0.135994734856297,6.65269450631799e-07,0.000148869729896097,"Up"
"EFNB2",903.232774941484,0.718173247827113,0.162026932969797,7.06849738589212e-07,0.000155245146290149,"Up"
"DAPK1",748.624669026408,0.750154527464478,0.171777039700766,7.39583368784938e-07,0.000156934959603873,"Up"
"ZNRF3",977.128317671823,0.70587774294957,0.160934001463074,7.41008240962636e-07,0.000156934959603873,"Up"
"CYFIP1",1435.77934048712,0.563973219689781,0.127846754628806,8.32994523301775e-07,0.00017332131660279,"Up"
"PCSK6",257.194142113495,1.01209879882298,0.23609932921628,8.87091092520245e-07,0.000181394833746381,"Up"
"VANGL2",238.243889078989,0.887658644216002,0.205351991413784,9.33644993092966e-07,0.000187678468103094,"Up"
"SLC2A3",2626.6924164476,-0.372262394243685,0.0800237101508297,9.92022039418952e-07,0.000196089689791813,"Not Significant"
"CDC42SE1",6592.01284135495,-0.32208656260976,0.0707982354797245,1.03774012797556e-06,0.000201763900291642,"Not Significant"
"GOLM1",2780.31082153698,0.437030919034754,0.099154203114757,1.05867560882612e-06,0.00020251439872061,"Not Significant"
"TGM2",21817.7616759168,0.792084461718522,0.185092088687006,1.0957404816523e-06,0.000206277493847559,"Up"
"TNFRSF9",293.727140237044,-0.795647279671105,0.186016953698915,1.14657400021721e-06,0.000212474494415252,"Down"
"SERPINA1",5849.96802831672,0.411421304308867,0.0928383495905358,1.18154244170099e-06,0.000213277156006171,"Not Significant"
"HAVCR2",7707.95320566272,-0.44147241744862,0.0983226197132653,1.18687118856723e-06,0.000213277156006171,"Not Significant"
"CDH1",3106.04954930493,0.462121101839695,0.10485942224311,1.24615394674911e-06,0.00022058784788723,"Not Significant"
"FOXQ1",1692.98359934751,0.943550503423674,0.220147053359764,1.29872055651147e-06,0.000226512144120971,"Up"
"RCBTB2",1466.55969947604,-0.732716574725827,0.174719147863691,1.51771117376939e-06,0.000260870355375435,"Down"
"ETS2",3072.91594287761,0.34979764261444,0.0786531846926384,1.55363879724927e-06,0.000261932537630805,"Not Significant"
"NRP2",337.616855387216,0.928544483935129,0.222535229363251,1.56806156591797e-06,0.000261932537630805,"Up"
"CD53",13251.4592227884,-0.384920434660234,0.0862557565737667,1.67196218243886e-06,0.000275409326162845,"Not Significant"
"BMP4",2910.38930443554,0.601727728547723,0.140096690869668,1.84966872501599e-06,0.000300507822995749,"Up"
"SEMA6B",72.7066511311069,1.50221648658602,0.368316787129938,1.95661519496937e-06,0.000313587246112658,"Up"
"EFNB1",3188.0256581948,0.673715407211711,0.161498722112896,2.00344127825188e-06,0.000316810847467564,"Up"
"SLAMF7",12452.990082675,-0.491276743851459,0.113153197749699,2.16646941472004e-06,0.000338083253402364,"Not Significant"
"LAPTM5",19464.421314216,-0.265007640693721,0.059428890086664,2.22097447204851e-06,0.000342087756344095,"Not Significant"
"FCER1G",6463.05894191757,-0.505870446200697,0.116437978145557,2.30557242416327e-06,0.000350565242956107,"Down"
"ANO1",739.978799820093,0.877666172498851,0.214751336144809,2.33834726337217e-06,0.000351048082830302,"Up"
"MTSS1",604.013969226972,0.550094094216899,0.131485835127545,2.39268672785008e-06,0.000351372194186695,"Up"
"ITGA6",3867.87907461077,0.535739688548646,0.128263167330422,2.39975950498501e-06,0.000351372194186695,"Up"
"SLC25A22",3843.71279293061,0.916142462572856,0.225404793037725,2.50936644513324e-06,0.000362940073649759,"Up"
"ATP9A",2231.9650297392,0.445643432129879,0.104096442914903,2.74794741294849e-06,0.00039265850985023,"Not Significant"
"LAMA3",726.831343010884,0.71198348510237,0.17475086613703,2.81604722451987e-06,0.000397599048604829,"Up"
"HSPA1B",1290.52980219798,0.558821277604932,0.136846298992258,2.95507209671027e-06,0.000409770935957907,"Up"
"SOCS3",222.317936642208,0.842008566665686,0.210508017027225,2.99481778332534e-06,0.000409770935957907,"Up"
"CCL4L2",1900.11327210624,-0.654850001945274,0.159870870767241,3.00590821486829e-06,0.000409770935957907,"Down"
"CXCR6",2255.22698213174,-0.570245733193679,0.139148632514601,3.23505467716742e-06,0.000435997141718246,"Down"
"RBM47",1336.2664453054,0.494586641238301,0.120101178042418,3.59811776338601e-06,0.000479479513188293,"Not Significant"
"OAF",1702.86851068895,0.665940715186314,0.164733713797756,3.67868759724004e-06,0.000484769276702965,"Up"
"FZD7",328.348573957574,0.756805960108518,0.189760701945433,3.84034319262896e-06,0.000500510662248126,"Up"
"PTK2",3404.76570512165,0.365991396394691,0.0872210059889945,3.92484407150268e-06,0.000505963594435019,"Not Significant"
"CD300A",2296.40957050193,-0.480124631218238,0.118159441933312,4.71901476579495e-06,0.000600712649199452,"Not Significant"
"CAP1",19492.9080136891,-0.392852113997922,0.0950018742996217,4.76112892282871e-06,0.000600712649199452,"Not Significant"
