"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"CISH",3941.98399832559,4.46375109121877,0.116036106215598,0,0,"Up"
"FCMR",1981.4061537288,-2.78370253317445,0.0749264617718672,6.23549906566608e-304,4.81131107906795e-300,"Down"
"PIK3IP1",2042.76977667349,-2.80393606391754,0.0799798717131759,1.33776247951748e-270,6.88145019463792e-267,"Down"
"CCL3",14433.603586105,2.79080169651893,0.0824176358383472,1.7224600835257e-252,6.64525100224215e-249,"Up"
"GZMB",28331.167662037,2.44526671739423,0.0764334127361188,9.87601219831257e-226,3.04813240488719e-222,"Up"
"OSM",621.933254998271,5.46098235326048,0.185890676274391,4.7665886003819e-190,1.22596658801823e-186,"Up"
"DUSP6",2534.35440944456,1.64839090058844,0.0573983175322347,1.98626304938786e-182,4.37885876830764e-179,"Up"
"APOL4",670.097662967684,3.10765651453541,0.112998604519793,2.91967920442408e-167,5.63206118533405e-164,"Up"
"BCL2",1806.80247199859,2.05954730644855,0.0753806734798655,1.85393285066782e-165,3.17887686127843e-162,"Up"
"LTA",821.574399022002,2.98382339130171,0.110033386898711,3.15160897758859e-163,4.86356297421472e-160,"Up"
"PIM1",4471.54492459906,1.95341913669736,0.0728072182286166,1.08786080212395e-159,1.52616980894334e-156,"Up"
"TYMS",6319.71581593066,1.44881126359872,0.0577463844076385,3.19576390914941e-140,4.10975238716614e-137,"Up"
"IL2RA",1378.13651725552,1.92055143275065,0.0778740932830382,1.96557049142665e-135,2.33328337105354e-132,"Up"
"SLC2A3",2626.6924164476,1.37358092214858,0.0557979203650372,3.24508103167539e-135,3.57700646291533e-132,"Up"
"VCAM1",500.82810961745,3.47001865747713,0.142926509674977,3.11033241155242e-131,3.19990998500513e-128,"Up"
"ID2",11299.8333148978,1.21505829349701,0.0506033214366457,2.49633054258659e-128,2.40771080832476e-125,"Up"
"FADS2",857.382196459894,2.42602133831729,0.104983073980981,2.05206729348535e-119,1.86279426312152e-116,"Up"
"SOCS2",1554.22436563076,2.35558006728694,0.103075265440093,1.10915787278569e-116,9.50918016268264e-114,"Up"
"MPP1",865.510483404282,1.88578426630178,0.0826325549737229,2.95486898863983e-116,2.39997569645736e-113,"Up"
"BHLHE40",10769.4276337003,1.67289879388919,0.0735783681249166,1.73299313785482e-115,1.33717750516878e-112,"Up"
"RGS16",969.834285813803,2.12153224470311,0.0937553619406576,1.54400687390557e-114,1.13462447991004e-111,"Up"
"CCND2",5958.17967170033,2.00919442815384,0.0896706667664851,2.67082972472691e-112,1.87346565054481e-109,"Up"
"CALB2",1036.57779061239,-1.73465665635899,0.0803804353223182,2.14593334201663e-104,1.43982797104351e-101,"Down"
"KRT18",58872.6330005661,-1.50842923101954,0.070900622031272,1.7244554907929e-101,1.10882488057983e-98,"Down"
"TNFRSF9",293.727140237044,2.75428306643538,0.130352150699716,4.57019987671534e-100,2.82109297989885e-97,"Up"
"IRF8",1072.41804160584,1.70049899247374,0.0826937362975727,1.19251587985552e-94,7.07804040689627e-92,"Up"
"FGF19",393.346856304545,-2.48783457992938,0.122054549857245,2.87426725849655e-93,1.64280341974514e-90,"Down"
"GPAT3",1339.26416183286,2.38375849125235,0.117815847601088,4.45594749108713e-92,2.45586363151631e-89,"Up"
