subset	marker
CD56dimCD16hi-c1-IL32	IL32
CD56dimCD16hi-c1-IL32	VCAN
CD56dimCD16hi-c1-IL32	IFITM1
CD56dimCD16hi-c1-IL32	MNDA
CD56dimCD16hi-c1-IL32	CYBB
CD56dimCD16hi-c1-IL32	GPR174
CD56dimCD16hi-c1-IL32	GABARAP
CD56dimCD16hi-c1-IL32	RNASEK
CD56dimCD16hi-c1-IL32	NME2
CD56dimCD16hi-c1-IL32	FCN1
CD56dimCD16hi-c2-CX3CR1	IFI44L
CD56dimCD16hi-c2-CX3CR1	CX3CR1
CD56dimCD16hi-c2-CX3CR1	CSF3R
CD56dimCD16hi-c2-CX3CR1	OAS1
CD56dimCD16hi-c2-CX3CR1	CD300C
CD56dimCD16hi-c2-CX3CR1	MATR3
CD56dimCD16hi-c2-CX3CR1	MX1
CD56dimCD16hi-c2-CX3CR1	RSAD2
CD56dimCD16hi-c2-CX3CR1	LGALS9C
CD56dimCD16hi-c2-CX3CR1	CCR1
CD56dimCD16hi-c3-ZNF90	BEND7
CD56dimCD16hi-c3-ZNF90	NACA2
CD56dimCD16hi-c3-ZNF90	GHRL
CD56dimCD16hi-c3-ZNF90	FAM184B
CD56dimCD16hi-c3-ZNF90	ZNF90
CD56dimCD16hi-c3-ZNF90	DUOX1
CD56dimCD16hi-c3-ZNF90	KLRC1
CD56dimCD16hi-c4-NFKBIA	CCL3
CD56dimCD16hi-c4-NFKBIA	FOS
CD56dimCD16hi-c4-NFKBIA	C1QB
CD56dimCD16hi-c4-NFKBIA	C1QA
CD56dimCD16hi-c4-NFKBIA	APOC1
CD56dimCD16hi-c4-NFKBIA	APOE
CD56dimCD16hi-c4-NFKBIA	CD69
CD56dimCD16hi-c4-NFKBIA	MARCO
CD56dimCD16hi-c4-NFKBIA	MSR1
CD56dimCD16hi-c4-NFKBIA	FABP4
CD56dimCD16hi-c5-MKI67	SPC25
CD56dimCD16hi-c5-MKI67	UBE2C
CD56dimCD16hi-c5-MKI67	PBK
CD56dimCD16hi-c5-MKI67	HJURP
CD56dimCD16hi-c5-MKI67	DLGAP5
CD56dimCD16hi-c5-MKI67	AURKB
CD56dimCD16hi-c5-MKI67	CENPA
CD56dimCD16hi-c5-MKI67	MKI67
CD56dimCD16hi-c5-MKI67	MND1
CD56dimCD16hi-c5-MKI67	CDK1
CD56dimCD16hi-c6-DNAJB1	HSPA1A
CD56dimCD16hi-c6-DNAJB1	HSPA1B
CD56dimCD16hi-c6-DNAJB1	HSPA6
CD56dimCD16hi-c6-DNAJB1	DNAJB1
CD56dimCD16hi-c6-DNAJB1	BAG3
CD56dimCD16hi-c6-DNAJB1	HSPH1
CD56dimCD16hi-c6-DNAJB1	NR4A1
CD56dimCD16hi-c6-DNAJB1	SERPINE1
CD56dimCD16hi-c6-DNAJB1	SERPINH1
CD56dimCD16hi-c6-DNAJB1	ATF3
CD56dimCD16hi-c7-NR4A3	CREM
CD56dimCD16hi-c7-NR4A3	NR4A3
CD56dimCD16hi-c7-NR4A3	SLC7A5
CD56dimCD16hi-c7-NR4A3	GFPT2
CD56dimCD16hi-c7-NR4A3	PMEPA1
CD56dimCD16hi-c7-NR4A3	NR4A2
CD56dimCD16hi-c7-NR4A3	ELL2
CD56dimCD16hi-c7-NR4A3	ZNF331
CD56dimCD16hi-c7-NR4A3	FAM177A1
CD56dimCD16hi-c7-NR4A3	RGCC
CD56dimCD16hi-c8-KLRC2	GCSAM
CD56dimCD16hi-c8-KLRC2	MSC
CD56dimCD16hi-c8-KLRC2	CD5
CD56dimCD16hi-c8-KLRC2	LAG3
CD56dimCD16hi-c8-KLRC2	THEMIS
CD56dimCD16hi-c8-KLRC2	PTMS
CD56dimCD16hi-c8-KLRC2	KLRC2
CD56dimCD16hi-c8-KLRC2	HLA-DQA1
CD56dimCD16hi-c8-KLRC2	MVB12B
CD56dimCD16hi-c8-KLRC2	IL32
CD56brightCD16lo-c1-GZMH	ASCL2
CD56brightCD16lo-c1-GZMH	PRSS23
CD56brightCD16lo-c1-GZMH	LIME1
CD56brightCD16lo-c1-GZMH	RAP1GAP2
CD56brightCD16lo-c1-GZMH	TTC16
CD56brightCD16lo-c1-GZMH	TKTL1
CD56brightCD16lo-c1-GZMH	GZMH
CD56brightCD16lo-c1-GZMH	MSC
CD56brightCD16lo-c1-GZMH	PCSK5
CD56brightCD16lo-c1-GZMH	ITGAD
CD56brightCD16lo-c2-IL7R-RGS1lo	SELL
CD56brightCD16lo-c2-IL7R-RGS1lo	SPTSSB
CD56brightCD16lo-c2-IL7R-RGS1lo	IGFBP4
CD56brightCD16lo-c2-IL7R-RGS1lo	MAL
CD56brightCD16lo-c2-IL7R-RGS1lo	FUT7
CD56brightCD16lo-c2-IL7R-RGS1lo	IL7R
CD56brightCD16lo-c2-IL7R-RGS1lo	PRAM1
CD56brightCD16lo-c2-IL7R-RGS1lo	EFHC2
CD56brightCD16lo-c2-IL7R-RGS1lo	CCR7
CD56brightCD16lo-c2-IL7R-RGS1lo	PYROXD2
CD56brightCD16lo-c3-CCL3	CCL3
CD56brightCD16lo-c3-CCL3	CCL4
CD56brightCD16lo-c3-CCL3	CD160
CD56brightCD16lo-c3-CCL3	PHKG1
CD56brightCD16lo-c3-CCL3	SMPD3
CD56brightCD16lo-c3-CCL3	APOC1
CD56brightCD16lo-c3-CCL3	ALOX5AP
CD56brightCD16lo-c3-CCL3	SPP1
CD56brightCD16lo-c3-CCL3	P2RX5
CD56brightCD16lo-c3-CCL3	EIF5AL1
CD56brightCD16lo-c4-IL7R	SPINK2
CD56brightCD16lo-c4-IL7R	GNAI1
CD56brightCD16lo-c4-IL7R	IL7R
CD56brightCD16lo-c4-IL7R	SPTSSB
CD56brightCD16lo-c4-IL7R	SELL
CD56brightCD16lo-c4-IL7R	SGK1
CD56brightCD16lo-c4-IL7R	GPR183
CD56brightCD16lo-c4-IL7R	P2RY14
CD56brightCD16lo-c4-IL7R	LST1
CD56brightCD16lo-c4-IL7R	CCR7
CD56brightCD16lo-c5-CREM	RASL11A
CD56brightCD16lo-c5-CREM	ARG2
CD56brightCD16lo-c5-CREM	CDKN1A
CD56brightCD16lo-c5-CREM	HSPH1
CD56brightCD16lo-c5-CREM	SLC7A5
CD56brightCD16lo-c5-CREM	GNG4
CD56brightCD16lo-c5-CREM	NR4A3
CD56brightCD16lo-c5-CREM	FOSL1
CD56brightCD16lo-c5-CREM	B3GNT5
CD56brightCD16lo-c5-CREM	CREM
CD56brightCD16hi	TACC2
CD56brightCD16hi	CACNB4
CD56brightCD16hi	INPP4B
CD56brightCD16hi	TTLL7
CD56brightCD16hi	TTN
CD56brightCD16hi	IL7R
