celltype	feature	comparison	group1	group2	pval	logFC	pct.1	pct.2	padj
iNK_c1-Cytotoxic	PID-RHOA-REG-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	7.36530940164292e-07	-0.150771373482586	1	1	0.000144360064272201
iNK_c1-Cytotoxic	PID-TCR-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	8.61554647911659e-07	-0.156824150325706	1	1	0.000168864710990685
iNK_c1-Cytotoxic	PID-CD8-TCR-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	8.91611933593884e-07	-0.138451451564323	1	1	0.000174755938984401
iNK_c1-Cytotoxic	PID-INTEGRIN-CS-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	1.09844748441448e-06	-0.262590840551624	1	0.997	0.000215295706945238
iNK_c1-Cytotoxic	PID-SYNDECAN-4-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	1.72190388945666e-06	-0.186062921837373	0.992	1	0.000337493162333506
iNK_c1-Cytotoxic	PID-VEGFR1-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	1.1028197076536e-05	-0.203707718248468	1	1	0.00216152662700105
iNK_c1-Cytotoxic	PID-ERBB4-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	1.39132401384146e-05	-0.174878165814858	1	1	0.00272699506712927
iNK_c1-Cytotoxic	PID-EPHA2-FWD-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	2.75827595757273e-05	-0.284472768466847	0.912	0.961	0.00540622087684255
iNK_c1-Cytotoxic	PID-INSULIN-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	4.24411244811542e-05	-0.183972711405047	0.984	0.997	0.00831846039830623
iNK_c1-Cytotoxic	PID-THROMBIN-PAR1-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	5.4124454802149e-05	-0.146792137838363	1	1	0.0106083931412212
iNK_c1-Cytotoxic	PID-ERBB1-INTERNALIZATION-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	7.16752245084077e-05	-0.14716251197402	1	1	0.0140483440036479
iNK_c1-Cytotoxic	PID-RAC1-REG-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	7.43012437325817e-05	-0.179202609559269	1	1	0.014563043771586
iNK_c1-Cytotoxic	PID-PDGFRB-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000128140680965802	-0.0834503913606435	1	1	0.0251155734692971
iNK_c1-Cytotoxic	PID-LYMPH-ANGIOGENESIS-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000132880134755768	-0.211344167742558	0.944	1	0.0260445064121305
iNK_c1-Cytotoxic	PID-TCR-CALCIUM-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000170765369606989	0.344717559924205	1	0.994	0.0334700124429699
iNK_c1-Cytotoxic	PID-ERBB1-RECEPTOR-PROXIMAL-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000235606072788428	-0.18310671464468	1	1	0.046178790266532
iNK_c1-Cytotoxic	PID-CXCR4-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000319355781704873	-0.0680439947568776	1	1	0.0625937332141552
iNK_c1-Cytotoxic	PID-HIV-NEF-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000339147603952745	0.209698204819075	1	0.997	0.0664729303747381
iNK_c1-Cytotoxic	PID-TRKR-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000500604431541817	-0.103489150611726	1	1	0.0981184685821962
iNK_c1-Cytotoxic	PID-NFAT-TFPATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000723677585274149	0.269473638363989	1	1	0.141840806713733
iNK_c1-Cytotoxic	PID-SYNDECAN-1-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000809587138502808	-0.0706289906662869	0.976	0.983	0.15867907914655
iNK_c1-Cytotoxic	PID-TCR-RAS-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000860087266750539	-0.163346940439493	0.992	0.992	0.168577104283106
iNK_c1-Cytotoxic	PID-INTEGRIN1-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.000924216996574937	-0.0154919292312874	0.96	0.964	0.181146531328688
iNK_c1-Cytotoxic	PID-ENDOTHELIN-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.00124720220945398	-0.0526782434776405	1	1	0.244451633052981
iNK_c1-Cytotoxic	PID-CXCR3-PATHWAY	OR7A10_Tumor-OR7A10st_Tumor	OR7A10_Tumor	OR7A10st_Tumor	0.00245356150222305	-0.0763260804426622	1	1	0.480898054435717
